host_since,host_identity_verified,neighbourhood,property_type,room_type,bed_type,cancellation_policy,host_listings_count,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,extra_people,minimum_nights,number_of_reviews,review_scores_rating,reviews_per_month,latitude,longitude,days,needsIndex,price
2008-08-08,TRUE,Little Portugal,House,Entire home/apt,Real Bed,strict_14_with_grace_period,1,10,3,5,7,1000,150,0.00,4,7,100,0.18,43.64616766,-79.42451013,3713,0.605980562,469.00
2009-06-22,FALSE,Harbourfront,Apartment,Private room,Real Bed,strict_14_with_grace_period,2,2,1.5,1,1,2587,57.72810448,0.00,180,170,97,1.53,43.64105127,-79.37627701,3395,0.589558077,97.00
2009-09-01,TRUE,Riverdale,House,Private room,Real Bed,moderate,1,2,1,1,1,0,57.72810448,20.00,1,77,97,0.7,43.6701855,-79.33584784,3324,0.540691979,69.00
2009-10-25,TRUE,The Annex,House,Private room,Pull-out Sofa,moderate,1,1,1.5,1,1,129,26,19.00,1,0,92,0,43.66724069,-79.41597756,3270,0.445365858,65.00
2010-03-15,TRUE,Fairbank,House,Private room,Real Bed,strict_14_with_grace_period,2,2,1,1,1,0,0,25.00,1,201,95,1.98,43.69601674,-79.45468275,3129,0.821636602,70.00
2010-04-25,TRUE,Entertainment District,Condominium,Entire home/apt,Real Bed,strict_14_with_grace_period,7,5,1,1,2,300,51,18.00,5,34,95,0.36,43.6453047,-79.38940362,3088,0.770066708,199.00
2010-05-04,TRUE,Greenwood-Coxwell,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,1,1,1,0,1,0,57.72810448,0.00,120,26,98,0.26,43.66890104,-79.32592045,3079,0.643217553,54.00
2010-03-01,FALSE,Davisville,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,8,1,1,0,1,200,60,0.00,30,6,97,0.16,43.70410154,-79.39026264,3143,0.788070176,85.00
2009-06-22,FALSE,Harbourfront,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,2,2,1.5,1,2,3880,57.72810448,0.00,180,1,100,0.01,43.64151207,-79.3764346,3395,0.573028442,129.00
2010-07-20,FALSE,Parkdale,House,Entire home/apt,Real Bed,strict_14_with_grace_period,3,6,1,2,2,0,125,30.00,28,97,92,0.97,43.63532283,-79.4404929,3002,0.684936731,125.00
2010-07-28,TRUE,Oakridge,Apartment,Entire home/apt,Real Bed,moderate,2,2,1,0,1,0,40,20.00,2,73,94,3.23,43.69458079,-79.28680599,2994,0.573028442,75.00
2010-08-01,TRUE,Entertainment District,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,19,4,2,2,2,0,150,0.00,29,0,92,0,43.64451421,-79.38184534,2990,0.684936731,135.00
2010-08-05,TRUE,Wexford/Maryvale,Bungalow,Entire home/apt,Real Bed,moderate,1,4,1,2,2,150,0,30.00,1,24,99,1.12,43.74858426,-79.29111476,2986,0.844449108,110.00
2010-08-08,TRUE,Rosedale,Apartment,Entire home/apt,Real Bed,strict_14_with_grace_period,19,2,1,1,1,0,65,65.00,1,43,77,0.44,43.67184559,-79.38583125,2983,0.703663971,131.00
